,Text,TagTog,Senticnet,PyFeel
685,"Tèlemakhos, tu ne seras ni un lâche, ni un insensé, si l'excellent esprit de ton père est en toi, tel qu'il le possédait pour parler et pour agir, et ton voyage ne sera ni inutile, ni imparfait. Si tu n'étais le fils d'Odysseus et de Pènélopéia, je n'espérerais pas que tu pusses accomplir ce que tu entreprends, car peu de fils sont semblables à leur père. La plupart sont moindres, peu son meilleurs que leurs parents. Mais tu ne seras ni un lâche, ni un insensé, puisque l'intelligence d'Odysseus est restée en toi, et tu dois espérer accomplir ton dessein. C'est pourquoi oublie les projets et les résolutions des prétendants insensés, car ils ne sont ni prudents, ni équitables, et ils ne songent point à la mort et à la kèr noire qui vont les faire périr tous en un seul jour. Ne tarde donc pas plus longtemps à faire ce que tu as résolu. Moi qui suis le compagnon de ton père, je te préparerai une nef rapide et je t'accompagnera",Surprise,ecstasy,sadness
686,"""Mais retourne à ta demeure te mêler aux prétendants. Apprête nos vivres ; enferme le vin dans les amphores, et, dans les outres épaisses, la farine, moelle des hommes. Moi, je te réunirai des compagnons volontaires parmi le peuple. Il y a beaucoup de nefs, neuves et vieilles, dans Ithakè entourée des flots. Je choisirai la meilleure de toutes, et nous la conduirons, bien armée, sur la mer vaste",Fear,ecstasy,joy
687,"Tèlémakhos, agorète orgueilleux et plein de colère, qu'il n'y ait plus dans ton coeur ni soucis, ni mauvais desseins. Mange et bois en paix comme auparavant. Les Akhaiens agiront pour toi. Ils choisiront une nef et des rameurs, afin que tu ailles promptement à la divine Pylos t'informer de ton illustre père.",Fear,ecstasy,angry
688,"Tèlémakhos, agorète orgueilleux et plein de colère, qu'il n'y ait plus dans ton coeur ni soucis, ni mauvais desseins. Mange et bois en paix comme auparavant. Les Akhaiens agiront pour toi. Ils choisiront une nef et des rameurs, afin que tu ailles promptement à la divine Pylos t'informer de ton illustre père.",Surprise,ecstasy,angry
689,"Antinoos, il ne m'est plus permis de m'asseoir au festin et de me réjouir en paix avec vous, orgueilleux ! N'est-ce pas assez, prétendants, que vous ayez déjà dévoré mes meilleures richesses, tandis que j'étais enfant ? Maintenant, je suis plus grand, et j'ai écouté les conseils des autres hommes, et la colère a grandi dans mon coeur. Je tenterai donc de vous apporter la kèr fatale, soit en allant à Pylos, soit ici, par le peuple. Certes, je partirai, et mon voyage ne sera point inutile. J'irai sur une nef louée, puisque je n'ai moi-même ni nef, ni rameurs, et qu'il vous a plu de m'en réduire là.",Fear,ecstasy,joy
690,"Antinoos, il ne m'est plus permis de m'asseoir au festin et de me réjouir en paix avec vous, orgueilleux ! N'est-ce pas assez, prétendants, que vous ayez déjà dévoré mes meilleures richesses, tandis que j'étais enfant ? Maintenant, je suis plus grand, et j'ai écouté les conseils des autres hommes, et la colère a grandi dans mon coeur. Je tenterai donc de vous apporter la kèr fatale, soit en allant à Pylos, soit ici, par le peuple. Certes, je partirai, et mon voyage ne sera point inutile. J'irai sur une nef louée, puisque je n'ai moi-même ni nef, ni rameurs, et qu'il vous a plu de m'en réduire là",Disgust,ecstasy,joy
691,"Certes, voici que Tèlémakhos médite notre destruction, soit qu'il ramène des alliés de la sablonneuse Pylos, soit qu'il en ramène de Spartè. Il le désire du moins avec ardeur. Peut-être aussi veut-il aller dans la fertile terre d'Ephyrè, afin d'en rapporter des poisons mortels qu'il jettera dans nos kratères pour nous tuer tous",Fear,grief,fear
692,"Certes, voici que Tèlémakhos médite notre destruction, soit qu'il ramène des alliés de la sablonneuse Pylos, soit qu'il en ramène de Spartè. Il le désire du moins avec ardeur. Peut-être aussi veut-il aller dans la fertile terre d'Ephyrè, afin d'en rapporter des poisons mortels qu'il jettera dans nos kratères pour nous tuer tou",Disgust,grief,fear
693,un autre de ces jeunes hommes orgueilleux,Angry,responsiveness,angry
694,"Qui sait si, une fois parti sur sa nef creuse, il ne périra pas loin des siens, ayant erré comme Odysseus ? Il nous donnerait ainsi un plus grand travail. Nous aurions à partager ses biens, et nous donnerions cette demeure à sa mère et à celui qu'elle épouserait.",Fear,ecstasy,sadness
695,"Qui sait si, une fois parti sur sa nef creuse, il ne périra pas loin des siens, ayant erré comme Odysseus ? Il nous donnerait ainsi un plus grand travail. Nous aurions à partager ses biens, et nous donnerions cette demeure à sa mère et à celui qu'elle épouserait.",Disgust,ecstasy,sadness
696,"Nourrice, puise dans les amphores le plus doux de ces vins parfumés que tu conserves dans l'attente d'un homme très-malheureux, du divin Odysseus, s'il revient jamais, ayant évité la kèr et la mort. Emplis douze vases et ferme-les de leurs couvercles. Verse de la farine dans des outres bien cousues, et qu'il y en ait vingt mesures. Que tu le saches seule, et réunis toutes ces provisions, je les prendrai à la nuit, quand ma mère sera retirée dans sa chambre, désirant son lit. Je vais à Spartè et à la sablonneuse Pylos pour m'informer du retour de mon père bien-aimé.",Sadness,ecstasy,sadness
697,"Nourrice, puise dans les amphores le plus doux de ces vins parfumés que tu conserves dans l'attente d'un homme très-malheureux, du divin Odysseus, s'il revient jamais, ayant évité la kèr et la mort. Emplis douze vases et ferme-les de leurs couvercles. Verse de la farine dans des outres bien cousues, et qu'il y en ait vingt mesures. Que tu le saches seule, et réunis toutes ces provisions, je les prendrai à la nuit, quand ma mère sera retirée dans sa chambre, désirant son lit. Je vais à Spartè et à la sablonneuse Pylos pour m'informer du retour de mon père bien-aimé.""",Disgust,ecstasy,sadness
698,"Pourquoi, cher enfant, as-tu cette pensée ? Tu veux aller à travers tant de pays, ô fils unique et bien-aimé ? Mais le divin Odysseus est mort, loin de la terre de la patrie, chez un peuple inconnu. Et les prétendants te tendront aussitôt des pièges, et tu périras par ruse, et ils partageront tes biens. Reste donc ici auprès des tiens ! Il ne faut pas que tu subisses des maux et que tu erres sur la mer indomptée.",Fear,grief,sadness
699,"Pourquoi, cher enfant, as-tu cette pensée ? Tu veux aller à travers tant de pays, ô fils unique et bien-aimé ? Mais le divin Odysseus est mort, loin de la terre de la patrie, chez un peuple inconnu. Et les prétendants te tendront aussitôt des pièges, et tu périras par ruse, et ils partageront tes biens. Reste donc ici auprès des tiens ! Il ne faut pas que tu subisses des maux et que tu erres sur la mer indomptée.",Sadness,grief,sadness
700,"Rassure-toi, nourrice ; ce dessein n'est point sans l'avis d'un dieu. Mais jure que tu ne diras rien à ma chère mère avant onze ou douze jours, à moins qu'elle me demande ou qu'elle sache que je suis parti, de peur qu'en pleurant elle blesse son beau corps.",Surprise,grief,sadness
701,"Rassure-toi, nourrice ; ce dessein n'est point sans l'avis d'un dieu. Mais jure que tu ne diras rien à ma chère mère avant onze ou douze jours, à moins qu'elle me demande ou qu'elle sache que je suis parti, de peur qu'en pleurant elle blesse son beau corps.""",Sadness,grief,sadness
702,"Tèlémakhos, déjà tes compagnons aux belles knèmides sont assis, l'aviron aux mains, prêts à servir ton ardeur. Allons, et ne tardons pas plus longtemps à faire route.",Fear,ecstasy,calmness
703,"Venez, amis. Emportons les provisions qui sont préparées dans ma demeure. Ma mère et ses femmes ignorent tout. Ma nourrice seule est instruite.",Fear,ecstasy,sadness
704,cher fils d'Odysseus,Angry,grief,sadness
705,"""– Tèlémakhos, il ne te convient plus d'être timide, maintenant que tu as traversé la mer pour l'amour de ton père, afin de t'informer quelle terre le renferme, et quelle a été sa destinée. Allons ! va droit au dompteur de chevaux Nestôr, et voyons quelle pensée il cache dans sa poitrine. Supplie-le de te dire la vérité. Il ne mentira pas, car il est plein de sagesse.""",Surprise,grief,fear
706,"Tèlémakhos, il ne te convient plus d'être timide, maintenant que tu as traversé la mer pour l'amour de ton père, afin de t'informer quelle terre le renferme, et quelle a été sa destinée. Allons ! va droit au dompteur de chevaux Nestôr, et voyons quelle pensée il cache dans sa poitrine. Supplie-le de te dire la vérité. Il ne mentira pas, car il est plein de sagesse",Fear,grief,fear
707,l ne te convient plus d'être timide,Angry,grief,fear
708,"Mentôr, comment l'aborder et comment le saluer ? Je n'ai point l'expérience des sages discours, et un jeune homme a quelque honte d'interroger un vieillard.",Fear,grief,joy
709,"Mentôr, comment l'aborder et comment le saluer ? Je n'ai point l'expérience des sages discours, et un jeune homme a quelque honte d'interroger un vieillard.""",Surprise,grief,joy
710,"Tèlémakhos, tu y songeras dans ton esprit, ou un dieu te l'inspirera, car je ne pense pas que tu sois né et que tu aies été élevé sans la bienveillance des dieux.",Fear,ecstasy,fear
711,"Tèlémakhos, tu y songeras dans ton esprit, ou un dieu te l'inspirera, car je ne pense pas que tu sois né et que tu aies été élevé sans la bienveillance des dieux.""",Surprise,ecstasy,fear
712,"Maintenant, ô mon hôte, supplie le roi Poseidaôn. Ce festin auquel vous venez tous deux prendre part est à lui. Après avoir fait des libations et imploré le dieu, comme il convient, donne cette coupe de vin doux à ton compagnon, afin qu'il fasse à son tour des libations. Je pense qu'il supplie aussi les immortels. Tous les hommes ont besoin des dieux. Mais il est plus jeune que toi et semble être de mon âge, c'est pourquoi je te donne d'abord cette coupe d'or",Surprise,grief,fear
713,"Maintenant, ô mon hôte, supplie le roi Poseidaôn. Ce festin auquel vous venez tous deux prendre part est à lui. Après avoir fait des libations et imploré le dieu, comme il convient, donne cette coupe de vin doux à ton compagnon, afin qu'il fasse à son tour des libations. Je pense qu'il supplie aussi les immortels. Tous les hommes ont besoin des dieux. Mais il est plus jeune que toi et semble être de mon âge, c'est pourquoi je te donne d'abord cette coupe d'or",Disgust,grief,fear
714,"Entends-moi, Poseidaôn qui contient la terre ! Ne nous refuse pas, à nous qui t'en supplions, d'accomplir notre dessein. Glorifie d'abord Nestôr et ses fils, et sois aussi favorable à tous les Pyliens en récompense de cette illustre hécatombe. Fais, enfin, que Tèlémakhos et moi nous retournions, ayant accompli l'oeuvre pour laquelle nous sommes venus sur une nef noire et rapide.",Fear,ecstasy,surprise
715,"Entends-moi, Poseidaôn qui contient la terre ! Ne nous refuse pas, à nous qui t'en supplions, d'accomplir notre dessein. Glorifie d'abord Nestôr et ses fils, et sois aussi favorable à tous les Pyliens en récompense de cette illustre hécatombe. Fais, enfin, que Tèlémakhos et moi nous retournions, ayant accompli l'oeuvre pour laquelle nous sommes venus sur une nef noire et rapide.""",Disgust,ecstasy,surprise
716,Gérennien Nestôr,Angry,,calmness
717,"Maintenant, nous pouvons demander qui sont nos hôtes, puisqu'ils sont rassasiés de nourriture.",Fear,sadness,angry
718,"Maintenant, nous pouvons demander qui sont nos hôtes, puisqu'ils sont rassasiés de nourriture.",Surprise,sadness,angry
719,"Ô nos hôtes, qui êtes-vous ? Naviguez-vous pour quelque trafic, ou bien, à l'aventure, comme des pirates qui, jouant leur vie, portent le malheur aux étrangers",Surprise,grief,sadness
720,"Ô nos hôtes, qui êtes-vous ? Naviguez-vous pour quelque trafic, ou bien, à l'aventure, comme des pirates qui, jouant leur vie, portent le malheur aux étrangers ?",Sadness,grief,sadness
721,"– Ô Nestôr Nèlèiade, grande gloire des Akhaiens, tu demandes d'où nous sommes, et je puis te le dire. Nous venons d'Ithakè, sous le Nèios, pour un intérêt privé, et non public, que je t'apprendrai. Je cherche à entendre parler de l'immense gloire de mon père, le divin et patient Odysseus qui, autrefois, dit-on, combattant avec toi, a renversé la ville des Troiens. Nous avons su dans quel lieu chacun de ceux qui combattaient contre les Troiens a subi la mort cruelle ; mais le Kroniôn, au seul Odysseus, a fait une mort ignorée ; et aucun ne peut dire où il a péri, s'il a été dompté sur la terre ferme par des hommes ennemis, ou dans la mer, sous les écumes d'Amphitrite. C'est pour lui que je viens, à tes genoux, te demander de me dire, si tu le veux, quelle a été sa mort cruelle, soit que tu l'aies vue de tes yeux, soit que tu l'aies apprise de quelque voyageur ; car sa mère l'a enfanté pour être très malheureux. Ne me flatte point d'espérances vaines, par compassion ; mais parle-moi ouvertement, je t'en supplie, si jamais mon père, l'excellent Odysseus, soit par ses paroles, soit par ses actions, a tenu les promesses qu'il t'avait faites, chez le peuple des Troiens, où vous, Akhaiens, avez subi tant de maux. Souviens-t'en maintenant, et dis-moi la vérité.""",Sadness,ecstasy,sadness
722,"Ô Nestôr Nèlèiade, grande gloire des Akhaiens, tu demandes d'où nous sommes, et je puis te le dire. Nous venons d'Ithakè, sous le Nèios, pour un intérêt privé, et non public, que je t'apprendrai. Je cherche à entendre parler de l'immense gloire de mon père, le divin et patient Odysseus qui, autrefois, dit-on, combattant avec toi, a renversé la ville des Troiens. Nous avons su dans quel lieu chacun de ceux qui combattaient contre les Troiens a subi la mort cruelle ; mais le Kroniôn, au seul Odysseus, a fait une mort ignorée ; et aucun ne peut dire où il a péri, s'il a été dompté sur la terre ferme par des hommes ennemis, ou dans la mer, sous les écumes d'Amphitrite. C'est pour lui que je viens, à tes genoux, te demander de me dire, si tu le veux, quelle a été sa mort cruelle, soit que tu l'aies vue de tes yeux, soit que tu l'aies apprise de quelque voyageur ; car sa mère l'a enfanté pour être très malheureux. Ne me flatte point d'espérances vaines, par compassion ; mais parle-moi ouvertement, je t'en supplie, si jamais mon père, l'excellent Odysseus, soit par ses paroles, soit par ses actions, a tenu les promesses qu'il t'avait faites, chez le peuple des Troiens, où vous, Akhaiens, avez subi tant de maux. Souviens-t'en maintenant, et dis-moi la vérité.",Fear,ecstasy,sadness
723,Gérennien Nestôr,Angry,,calmness
724,"Ô ami, tu me fais souvenir des maux que nous, fils indomptables des Akhaiens, nous avons subis chez le peuple Troien, soit en poursuivant notre proie, sur nos nefs, à travers la mer sombre, et conduits par Akhilleus, soit en combattant autour de la grande ville du roi Priamos, là où tant de guerriers excellents ont été tués. C'est là que gisent le brave Aias, et Akhilleus, et Patroklos semblable aux dieux par la sagesse, et mon fils bien-aimé Antilokhos, robuste et irréprochable, habile à la course et courageux combattant. Et nous avons subi bien d'autres maux, et nul, parmi les hommes mortels, ne pourrait les raconter tous. Et tu pourrais rester ici et m'interroger pendant cinq ou six ans, que tu retournerais, plein de tristesse, dans la terre de la patrie, avant de connaître tous les maux subis par les divins Akhaiens. Et, pendant neuf ans, nous avons assiégé Troiè par mille ruses, et le Kroniôn ne nous donna la victoire qu'avec peine. Là, nul n'égala jamais le divin Odysseus par la sagesse, car ton père l'emportait sur tous par ses ruses sans nombre, si vraiment tu es son fils",Fear,ecstasy,fear
725,"Ô ami, tu me fais souvenir des maux que nous, fils indomptables des Akhaiens, nous avons subis chez le peuple Troien, soit en poursuivant notre proie, sur nos nefs, à travers la mer sombre, et conduits par Akhilleus, soit en combattant autour de la grande ville du roi Priamos, là où tant de guerriers excellents ont été tués. C'est là que gisent le brave Aias, et Akhilleus, et Patroklos semblable aux dieux par la sagesse, et mon fils bien-aimé Antilokhos, robuste et irréprochable, habile à la course et courageux combattant. Et nous avons subi bien d'autres maux, et nul, parmi les hommes mortels, ne pourrait les raconter tous. Et tu pourrais rester ici et m'interroger pendant cinq ou six ans, que tu retournerais, plein de tristesse, dans la terre de la patrie, avant de connaître tous les maux subis par les divins Akhaiens. Et, pendant neuf ans, nous avons assiégé Troiè par mille ruses, et le Kroniôn ne nous donna la victoire qu'avec peine. Là, nul n'égala jamais le divin Odysseus par la sagesse, car ton père l'emportait sur tous par ses ruses sans nombre, si vraiment tu es son fils.""",Sadness,ecstasy,fear
726,"Mais l'admiration me saisit en te regardant. Tes paroles sont semblables aux siennes, et on ne te croirait pas si jeune, tant tu sais parler comme lui. Là-bas, jamais le divin Odysseus et moi, dans l'agora ou dans le conseil, nous n'avons parlé différemment ; et nous donnions aux Akhaiens les meilleurs avis, ayant le même esprit et la même sagesse",Fear,enthusiasm,surprise
727,"Enfin, après avoir renversé la haute citadelle de Priamos, nous partîmes sur nos nefs, et un dieu dispersa les Akhaiens. Déjà Zeus, sans doute, préparait, dans son esprit, un triste retour aux Akhaiens ; car tous n'étaient point prudents et justes, et une destinée terrible était réservée à beaucoup d'entre eux, à cause de la colère d'Athènè aux yeux clairs qui a un père effrayant, et qui jeta la discorde entre les deux Atréides. Et ceux-ci avaient convoqué tous les Akhaiens à l'agora, sans raison et contre l'usage, au coucher de Hèlios, et les fils des Akhaiens y vinrent, alourdis par le vin, et les Atréides leur expliquèrent pourquoi ils avaient convoqué le peuple. Alors Ménélaos leur ordonna de songer au retour sur le vaste dos de la mer ; mais cela ne plut point à Agamemnôn, qui voulait retenir le peuple et sacrifier de saintes hécatombes, afin d'apaiser la violente colère d'Athènè. Et l'insensé ne savait pas qu'il ne pourrait l'apaiser, car l'esprit des Dieux éternels ne change point aussi vite. Et tandis que les Atréides, debout, se disputaient avec d'âpres paroles, tous les Akhaiens aux belles knèmides se levèrent, dans une grande clameur, pleins de résolutions contraires",Fear,ecstasy,fear
728,"Enfin, après avoir renversé la haute citadelle de Priamos, nous partîmes sur nos nefs, et un dieu dispersa les Akhaiens. Déjà Zeus, sans doute, préparait, dans son esprit, un triste retour aux Akhaiens ; car tous n'étaient point prudents et justes, et une destinée terrible était réservée à beaucoup d'entre eux, à cause de la colère d'Athènè aux yeux clairs qui a un père effrayant, et qui jeta la discorde entre les deux Atréides. Et ceux-ci avaient convoqué tous les Akhaiens à l'agora, sans raison et contre l'usage, au coucher de Hèlios, et les fils des Akhaiens y vinrent, alourdis par le vin, et les Atréides leur expliquèrent pourquoi ils avaient convoqué le peuple. Alors Ménélaos leur ordonna de songer au retour sur le vaste dos de la mer ; mais cela ne plut point à Agamemnôn, qui voulait retenir le peuple et sacrifier de saintes hécatombes, afin d'apaiser la violente colère d'Athènè. Et l'insensé ne savait pas qu'il ne pourrait l'apaiser, car l'esprit des Dieux éternels ne change point aussi vite. Et tandis que les Atréides, debout, se disputaient avec d'âpres paroles, tous les Akhaiens aux belles knèmides se levèrent, dans une grande clameur, pleins de résolutions contraires.""",Disgust,ecstasy,fear
729,"Ô Nestôr Nèlèiade, grande gloire des Akhaiens, certes, Orestès a tiré une juste vengeance, et tous les Akhaiens l'en glorifient, et les hommes futurs l'en glorifieront. Plût aux dieux que j'eusse la force de faire expier aux prétendants les maux qu'ils me font et l'opprobre dont ils me couvrent. Mais les dieux ne nous ont point destinés à être honorés, mon père et moi, et, maintenant, il me faut tout subir avec patience.",Fear,ecstasy,fear
730,"Ô Nestôr Nèlèiade, grande gloire des Akhaiens, certes, Orestès a tiré une juste vengeance, et tous les Akhaiens l'en glorifient, et les hommes futurs l'en glorifieront. Plût aux dieux que j'eusse la force de faire expier aux prétendants les maux qu'ils me font et l'opprobre dont ils me couvrent. Mais les dieux ne nous ont point destinés à être honorés, mon père et moi, et, maintenant, il me faut tout subir avec patience.",Disgust,ecstasy,fear
731,Gérennien Nestôr,Angry,,calmness
732,"Ô ami, ce que tu me dis m'a été rapporté, que de nombreux prétendants, à cause de ta mère, t'opprimaient dans ta demeure. Mais, dis-moi, souffres-tu ces maux sans résistance, ou bien les peuples, obéissant à l'oracle d'un dieu, t'ont-ils pris en haine ! Qui sait si Odysseus ne châtiera pas un jour leur iniquité violente, seul, ou aidé de tous les Akhaiens ? Qu'Athènè aux yeux clairs puisse t'aimer autant qu'elle aimait le glorieux Odysseus, chez le peuple des Troiens, où, nous, Akhaiens, nous avons subi tant de maux ! Non, je n'ai jamais vu les Dieux aimer aussi manifestement un homme que Pallas Athènè aimait Odysseus. Si elle voulait t'aimer ainsi et te protéger, chacun des prétendants oublierait bientôt ses désirs de noces !",Fear,ecstasy,sadness
733,"Ô ami, ce que tu me dis m'a été rapporté, que de nombreux prétendants, à cause de ta mère, t'opprimaient dans ta demeure. Mais, dis-moi, souffres-tu ces maux sans résistance, ou bien les peuples, obéissant à l'oracle d'un dieu, t'ont-ils pris en haine ! Qui sait si Odysseus ne châtiera pas un jour leur iniquité violente, seul, ou aidé de tous les Akhaiens ? Qu'Athènè aux yeux clairs puisse t'aimer autant qu'elle aimait le glorieux Odysseus, chez le peuple des Troiens, où, nous, Akhaiens, nous avons subi tant de maux ! Non, je n'ai jamais vu les Dieux aimer aussi manifestement un homme que Pallas Athènè aimait Odysseus. Si elle voulait t'aimer ainsi et te protéger, chacun des prétendants oublierait bientôt ses désirs de noces !""",Disgust,ecstasy,sadness
734,"Ô vieillard, je ne pense pas que ceci arrive jamais. Les grandes choses que tu prévois me troublent et me jettent dans la stupeur. Elles tromperaient mes espérances, même si les dieux le voulaient",Fear,dislike,fear
735,"Ô vieillard, je ne pense pas que ceci arrive jamais. Les grandes choses que tu prévois me troublent et me jettent dans la stupeur. Elles tromperaient mes espérances, même si les dieux le voulaient.""",Sadness,dislike,fear
736,"Tèlémakhos, quelle parole s'est échappée d'entre tes dents ! Un dieu peut aisément sauver un homme, même de loin. J'aimerais mieux, après avoir subi de nombreuses douleurs, revoir le jour du retour et revenir dans ma demeure, plutôt que de périr à mon arrivée, comme Agamemnôn par la perfidie d'Aigisthos et de Klytaimnestrè. Cependant, les dieux eux-mêmes ne peuvent éloigner de l'homme qu'ils aiment la mort commune à tous, quand la Moire fatale de la rude mort doit les saisir",Fear,ecstasy,sadness
737,"Tèlémakhos, quelle parole s'est échappée d'entre tes dents ! Un dieu peut aisément sauver un homme, même de loin. J'aimerais mieux, après avoir subi de nombreuses douleurs, revoir le jour du retour et revenir dans ma demeure, plutôt que de périr à mon arrivée, comme Agamemnôn par la perfidie d'Aigisthos et de Klytaimnestrè. Cependant, les dieux eux-mêmes ne peuvent éloigner de l'homme qu'ils aiment la mort commune à tous, quand la Moire fatale de la rude mort doit les saisir",Sadness,ecstasy,sadness
738,"Mentôr, n'en parlons pas plus longtemps, malgré notre tristesse. Odysseus ne reviendra jamais, et déjà les dieux immortels lui ont infligé la mort et la noire kèr. Maintenant, je veux interroger Nestôr, car il l'emporte sur tous par l'intelligence et par la justice. Ô Nestôr Nèlèiade, dis-moi la vérité ; comment a péri l'Atréide Agamemnôn qui commandait au loin ? Quelle mort lui préparait le perfide Aigisthos ? Certes, il a tué un homme qui lui était bien supérieur. Où était Ménélaos ? Non dans l'Argos Akhaïque, sans doute ; et il errait au loin parmi les hommes, et Aigisthos, en son absence, a commis le meurtre",Surprise,grief,sadness
739,"Mentôr, n'en parlons pas plus longtemps, malgré notre tristesse. Odysseus ne reviendra jamais, et déjà les dieux immortels lui ont infligé la mort et la noire kèr. Maintenant, je veux interroger Nestôr, car il l'emporte sur tous par l'intelligence et par la justice. Ô Nestôr Nèlèiade, dis-moi la vérité ; comment a péri l'Atréide Agamemnôn qui commandait au loin ? Quelle mort lui préparait le perfide Aigisthos ? Certes, il a tué un homme qui lui était bien sup",Surprise,grief,sadness
740,"e sur tous par l'intelligence et par la justice. Ô Nestôr Nèlèiade, dis-moi la vérité ; comment a péri l'Atréide Agamemnôn qui commandait au loin ? Quelle mort lui préparait le perfide Aigisthos ? Certes, il a tué un homme qui lui était bien supérieur. Où était Ménélaos ? Non dans l'Argos Akhaïque, sans doute ; et il errait au loin parmi les hommes, et Aigisthos, en son absence, a commis le meurtre.",Surprise,grief,sadness
741,Gérennien Nestôr,Angry,,calmness
742,"Certes, mon enfant, je te dirai la vérité sur ces choses, et tu les sauras, telles qu'elles sont arrivées. Si le blond Ménélaos Atréide, à son retour de Troiè, avait trouvé, dans ses demeures, Aigisthos vivant, sans doute celui-ci eût péri, et n'eût point été enseveli, et les chiens et les oiseaux carnassiers l'eussent mangé, gisant dans la plaine, loin d'Argos ; et aucune Akhaienne ne l'eût pleuré, car il avait commis un grand crime. En effet, tandis que nous subissions devant Ilios des combats sans nombre, lui, tranquille en une retraite, dans Argos nourrice de chevaux, séduisait par ses paroles l'épouse Agamemnonienne. Et certes, la divine Klytaimnestrè repoussa d'abord cette action indigne, car elle obéissait à ses bonnes pensées ; et auprès d'elle était un Aoide à qui l'Atréide, en partant pour Troiè, avait confié la garde de l'Épouse.",Fear,ecstasy,sadness
743,"Certes, mon enfant, je te dirai la vérité sur ces choses, et tu les sauras, telles qu'elles sont arrivées. Si le blond Ménélaos Atréide, à son retour de Troiè, avait trouvé, dans ses demeures, Aigisthos vivant, sans doute celui-ci eût péri, et n'eût point été enseveli, et les chiens et les oiseaux carnassiers l'eussent mangé, gisant dans la plaine, loin d'Argos ; et aucune Akhaienne ne l'eût pleuré, car il avait commis un grand crime. En effet, tandis que nous subissions devant Ilios des combats sans nombre, lui, tranquille en une retraite, dans Argos nourrice de chevaux, séduisait par ses paroles l'épouse Agamemnonienne. Et certes, la divine Klytaimnestrè repoussa d'abord cette action indigne, car elle obéissait à ses bonnes pensées ; et auprès d'elle était un Aoide à qui l'Atréide, en partant pour Troiè, avait confié la garde de l'Épouse",Surprise,ecstasy,sadness
744,"Vieillard, tu as parlé convenablement. Mais tranchez les langues des victimes, et mêlez le vin, afin que nous fassions des libations à Poseidaôn et aux autres immortels. Puis, nous songerons à notre lit, car voici l'heure. Déjà la lumière est sous l'horizon, et il ne convient pas de rester plus longtemps au festin des dieux ; mais il faut nous retirer",Surprise,grief,joy
745,"Vieillard, tu as parlé convenablement. Mais tranchez les langues des victimes, et mêlez le vin, afin que nous fassions des libations à Poseidaôn et aux autres immortels. Puis, nous songerons à notre lit, car voici l'heure. Déjà la lumière est sous l'horizon, et il ne convient pas de rester plus longtemps au festin des dieux ; mais il faut nous retire",Disgust,grief,joy
746,"Que Zeus et tous les autres dieux immortels me préservent de vous laisser retourner vers votre nef rapide, en me quittant, comme si j'étais un homme pauvre qui n'a dans sa maison ni vêtements ni tapis, afin que ses hôtes y puissent dormir mollement ! Certes, je possède beaucoup de vêtements et de beaux tapis. Et jamais le cher fils du héros Odysseus ne passera la nuit dans sa nef tant que je vivrai, et tant que mes enfants habiteront ma maison royale et y recevront les étrangers qui viennent dans ma demeure.",Disgust,ecstasy,sadness
747,"Que Zeus et tous les autres dieux immortels me préservent de vous laisser retourner vers votre nef rapide, en me quittant, comme si j'étais un homme pauvre qui n'a dans sa maison ni vêtements ni tapis, afin que ses hôtes y puissent dormir mollement ! Certes, je possède beaucoup de vêtements et de beaux tapis. Et jamais le cher fils du héros Odysseus ne passera la nuit dans sa nef tant que je vivrai, et tant que mes enfants habiteront ma maison royale et y recevront les étrangers qui viennent dans ma demeure.""",Surprise,ecstasy,sadness
748,"Tu as bien parlé, cher vieillard. Il convient que tu persuades Tèlémakhos, afin que tout soit pour le mieux. Il te suivra donc pour dormir dans ta demeure, et je retournerai vers notre nef noire pour donner des ordres à nos compagnons, car je me glorifie d'être le plus âgé d'entre eux. Ce sont des jeunes hommes, du même âge que le magnanime Tèlémakhos, et ils l'ont suivi par amitié. Je dormirai dans la nef noire et creuse, et, dès le matin, j'irai vers les magnanimes Kaukônes, pour une somme qui m'est due et qui n'est pas médiocre. Quand Tèlémakhos sera dans ta demeure, envoie-le sur le char, avec ton fils, et donne-lui tes chevaux les plus rapides et les plus vigoureux.""",Surprise,ecstasy,sadness
749,"Ô ami, tu ne seras ni faible ni lâche, puisque les dieux eux-mêmes te conduisent, bien que tu sois si jeune. C'est là un des habitants des demeures Olympiennes, la fille de Zeus, la dévastatrice Tritogénéia, qui honorait ton père excellent entre tous les Argiens. C'est pourquoi, ô reine, sois-moi favorable ! Donne-nous une grande gloire, à moi, à mes fils et à ma vénérable épouse, et je te sacrifierai une génisse d'un an, au front large, indomptée, et que nul autre n'a soumise au joug ; et je te la sacrifierai après avoir répandu de l'or sur ses cornes.",Fear,ecstasy,sadness
750,Gérennien Nestôr,Angry,,calmness
751,Gérennien Nestôr,Angry,,calmness
752,Gérennien Nestôr,Angry,,calmness
753,Gérennien Nestôr,Angry,,calmness
754,Gérennien Nestôr,Angry,,calmness
